address,lat,lon
N9195 COUNTY ROAD X BLACK CREEK WI 54106,44.57,-88.38807
N6051 TWELVE CORNERS RD BLACK CREEK WI 54106,44.45749,-88.43238
507 S MAPLE ST BLACK CREEK WI 54106,44.46799,-88.45011
405 WALLACE ST COMBINED LOCKS WI 54113,44.26386,-88.31112
W780 GREINER RD KAUKAUNA WI 54130,44.34323,-88.22586
W2004 COUNTY RD S FREEDOM WI 54130,44.38689,-88.2866
W2030 COUNTY ROAD JJ FREEDOM WI 54130,44.31595,-88.28949
515 W KIMBERLY AVE KIMBERLY WI 54136,44.27163,-88.3401
625 GRAND AVE LITTLE CHUTE WI 54140,44.28075,-88.31657
N6593 COUNTY ROAD H ONEIDA WI 54155,44.47628,-88.2536
W3389 COUNTY ROAD EE SEYMOUR WI 54165,44.44291,-88.35481
328 N MAIN ST SEYMOUR WI 54165,44.51437,-88.32989
N8055 FRENCH RD SEYMOUR WI 54165,44.52824,-88.35012
N8551 STATE HIGHWAY 187 SHIOCTON WI 54170,44.44763,-88.57113
N5605 STATE HIGHWAY 76 SHIOCTON WI 54170,44.44224,-88.57955
N5289 REXFORD RD SHIOCTON WI 54170,44.43005,-88.56661
600 CARDINAL LN GREEN BAY WI 54313,44.55754,-88.07981
2456 GLENDALE AVE GREEN BAY WI 54313,44.56252,-88.07717
701 HILLCREST HTS GREEN BAY WI 54313,44.56064,-88.1011
4165 SHAWANO AVE GREEN BAY WI 54313,44.57645,-88.14389
803 E COLLEGE AVE APPLETON WI 54911,44.26145,-88.39456
425 W WATER ST APPLETON WI 54911,44.25485,-88.41157
325 E FRANKLIN ST APPLETON WI 54911,44.26363,-88.40168
740 E COLLEGE AVE APPLETON WI 54911,44.26232,-88.39558
601 E GLENDALE AVE APPLETON WI 54911,44.27977,-88.39781
930 E FLORIDA AVE APPLETON WI 54911,44.29145,-88.39168
3100 E EVERGREEN DR APPLETON WI 54913,44.30255,-88.36274
6331 N BALLARD RD APPLETON WI 54913,44.32997,-88.37651
1900 W GRAND CHUTE BLVD GRAND CHUTE WI 54913,44.30432,-88.4373
2693 W GRAND CHUTE BLVD GRAND CHUTE WI 54913,44.3008,-88.45032
N3990 STATE ROAD 47 APPLETON WI 54913,44.384,-88.41611
1130 W MARQUETTE ST APPLETON WI 54914,44.28254,-88.42384
1617 W PINE ST APPLETON WI 54914,44.25073,-88.43229
129 S MASON ST APPLETON WI 54914,44.26101,-88.42668
N178 COUNTY RD N APPLETON WI 54915,44.24667,-88.32355
415 E HOOVER AVE APPLETON WI 54915,44.23818,-88.39927
2020 E JOHN ST APPLETON WI 54915,44.25099,-88.37435
724 E SOUTH RIVER STREET APPLETON WI 54915,44.25433,-88.39334
2330 E CALUMET ST APPLETON WI 54915,44.24447,-88.37054
E9107 SILVER CREEK RD BEAR CREEK WI 54922,44.54189,-88.76789
W9698 COUNTY ROAD F BEAR CREEK WI 54922,44.51734,-88.67668
109 PROSPECT ST BEAR CREEK WI 54922,44.53069,-88.72752
W9641 STATE ROAD 96 DALE WI 54931,44.27186,-88.67461
W6860 PARKVIEW DR GREENVILLE WI 54942,44.30309,-88.53489
N1615 MEADOWVIEW DR GREENVILLE WI 54942,44.30015,-88.53304
N3802 STATE ROAD 76 HORTONVILLE WI 54944,44.37841,-88.58245
531 N NASH ST HORTONVILLE WI 54944,44.34173,-88.63392
700 NYE ST HORTONVILLE WI 54944,44.3306,-88.65516
N3918 HOLLOW RD NEW LONDON WI 54961,44.38206,-88.65477
W10388 COUNTY ROAD W NEW LONDON WI 54961,44.43091,-88.71201
N9065 KRULL RD NICHOLS WI 54152,44.56588,-88.47102
