Unnamed: 0,name,address,lat,lon
1,,160 MILL ST AMHERST WI 54406,44.45085,-89.28254
2,,7174 COUNTY ROAD TT AMHERST WI 54406,44.3544,-89.2871
3,,4023 COUNTY ROAD Q AMHERST JUNCTION WI 54407,44.46688,-89.30937
4,,845 COUNTY ROAD T N AMHERST JUNCTION WI 54407,44.53961,-89.26386
5,,3980 2ND ST AMHERST JCT WI 54407,44.46887,-89.31272
6,,7252 6TH ST CUSTER WI 54423,44.49554,-89.42313
7,,3191 STATE HIGHWAY 34 JUNCTION CITY WI 54443,44.62636,-89.71831
8,,120 MAIN ST MILLADORE WI 54454,44.60393,-89.85165
9,,9515 WATER STREET NELSONVILLE WI 54458,44.4939,-89.30946
10,,5081 HOOVER AVE PLOVER WI 54467,44.43586,-89.52844
11,,2400 POST RD PLOVER WI 54467,44.46248,-89.54326
12,,101 S MAIN ST ROSHOLT WI 54473,44.62498,-89.30876
13,,10401 LYSTUL RD ROSHOLT WI 54473,44.65048,-89.26192
14,,24 CRESTWOOD DR STEVENS POINT WI 54481,44.52248,-89.54759
15,,817 WHITING AVE STEVENS POINT WI 54481,44.5059,-89.57327
16,,1015 RESERVE ST STEVENS POINT WI 54481,44.52583,-89.56902
17,,600 WILSHIRE BLVD STEVENS POINT WI 54481,44.52974,-89.5508
18,,340 DIVISION ST N STEVENS POINT WI 54481,44.53916,-89.57637
19,,933 MICHIGAN AVE STEVENS POINT WI 54481,44.52633,-89.56399
20,,1519 WATER ST STEVENS POINT WI 54481,44.51948,-89.58211
21,,1001 CENTERPOINT DR STEVENS POINT WI 54481,44.5245,-89.58535
22,,2442 SIMS AVE STEVENS POINT WI 54481,44.5252,-89.5621
23,,3756 COUNTY ROAD M STEVENS POINT WI 54481,44.5406,-89.7458
24,,3600 WATER ST STEVENS POINT WI 54481,44.49617,-89.56159
25,,3160 MILL CREEK DR STEVENS POINT WI 54481,44.46769,-89.65447
26,,4550 WOJCIK MEMORIAL DR STEVENS POINT WI 54482,44.5651,-89.5373
27,,900 BRILOWSKI RD STEVENS POINT WI 54482,44.5266,-89.51017
28,,2700 WEEK ST STEVENS POINT WI 54482,44.51114,-89.50625
29,,9011 COUNTY ROAD WW WISCONSIN RAPIDS WI 54494,44.35951,-89.7076
30,,1401 DIVISION ST ALMOND WI 54909,44.26009,-89.40213
31,,122 MAIN ST ALMOND WI 54909,44.26081,-89.40803
32,,9110 16TH RD ALMOND WI 54909,44.2817,-89.2826
33,,6684 COUNTY ROAD BB BANCROFT WI 54921,44.37826,-89.47396
34,,5444 COUNTY RD W BANCROFT WI 54921,44.31024,-89.5166
35,,1001 MAIN ST JUNCTION CITY WI 54443,44.59049,-89.76082
